Filename;LONG_RUN.csv
Start Date;2009 01 01 / 03:42:13
Stop Date;2009 01 01 / 05:26:01
Serial Number;1551019J010
Identifier;id210

Setup;
Detector Mode;Internal Gating
Efficiency;10;%
Gate Width;5.00;ns
Trigger Delay;0.00;ns
Dead Time;0.10;us
Frequency;10000;Hz

Counting mode;Frequency
Integration time;1.0;s

Period;Detection;Detection Standard Deviation;Detection Min;Detection Max;Auxiliary1;Auxiliary1 Standard Deviation;Auxiliary1 Min;Auxiliary1 Max;Auxiliary2;Auxiliary2 Standard Deviation;Auxiliary2 Min;Auxiliary2 Max;Auxiliary1&2;Auxiliary1&2 Standard Deviation;Auxiliary1&2 Min;Auxiliary1&2 Max;Gate;Gate Standard Deviation;Gate Min;Gate Max;Clock;Clock Standard Deviation;Clock Min;Clock Max
48;37;6;25;40;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
49;45;13.038405;30;65;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
50;42;10.29563;30;55;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
51;40;18.165902;25;75;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
52;54;10.198039;40;65;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
53;48;10.29563;35;65;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
54;47;14.3527;20;60;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
55;52;10.29563;35;65;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
56;52;13.638182;30;70;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
57;45;13.416408;25;60;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
58;42;8.7177979;35;55;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
59;60;15.811388;40;85;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
60;50;9.486833;35;60;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
61;50;8.3666003;40;65;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
62;57;20.149442;40;95;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
63;42;11.661904;25;55;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
64;56;8.6023253;45;70;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
65;49;16.552945;30;75;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
66;54;23.537205;35;100;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
