Filename;DIVYA.csv
Start Date;2009 01 01 / 03:52:56
Stop Date;2009 01 01 / 04:13:24
Serial Number;1551019J010
Identifier;id210

Setup;
Detector Mode;Internal Gating
Efficiency;10;%
Gate Width;5.00;ns
Trigger Delay;0.00;ns
Dead Time;2.50;us
Frequency;500000;Hz

Counting mode;Frequency
Integration time;0.2;s

Period;Detection;Detection Standard Deviation;Detection Min;Detection Max;Auxiliary1;Auxiliary1 Standard Deviation;Auxiliary1 Min;Auxiliary1 Max;Auxiliary2;Auxiliary2 Standard Deviation;Auxiliary2 Min;Auxiliary2 Max;Auxiliary1&2;Auxiliary1&2 Standard Deviation;Auxiliary1&2 Min;Auxiliary1&2 Max;Gate;Gate Standard Deviation;Gate Min;Gate Max;Clock;Clock Standard Deviation;Clock Min;Clock Max
48;2530;0;2530;2530;0;0;0;0;0;0;0;0;0;0;0;0;497470;0;497470;497470;500000;0;500000;500000
49;2550;0;2550;2550;0;0;0;0;0;0;0;0;0;0;0;0;497450;0;497450;497450;500000;0;500000;500000
50;2525;0;2525;2525;0;0;0;0;0;0;0;0;0;0;0;0;497475;0;497475;497475;500000;0;500000;500000
51;2330;0;2330;2330;0;0;0;0;0;0;0;0;0;0;0;0;497670;0;497670;497670;500000;0;500000;500000
52;2435;0;2435;2435;0;0;0;0;0;0;0;0;0;0;0;0;497565;0;497565;497565;500000;0;500000;500000
53;2675;0;2675;2675;0;0;0;0;0;0;0;0;0;0;0;0;497325;0;497325;497325;500000;0;500000;500000
54;2440;0;2440;2440;0;0;0;0;0;0;0;0;0;0;0;0;497560;0;497560;497560;500000;0;500000;500000
55;2495;0;2495;2495;0;0;0;0;0;0;0;0;0;0;0;0;497505;0;497505;497505;500000;0;500000;500000
56;2545;0;2545;2545;0;0;0;0;0;0;0;0;0;0;0;0;497455;0;497455;497455;500000;0;500000;500000
57;2660;0;2660;2660;0;0;0;0;0;0;0;0;0;0;0;0;497340;0;497340;497340;500000;0;500000;500000
58;2530;0;2530;2530;0;0;0;0;0;0;0;0;0;0;0;0;497470;0;497470;497470;500000;0;500000;500000
59;2545;0;2545;2545;0;0;0;0;0;0;0;0;0;0;0;0;497455;0;497455;497455;500000;0;500000;500000
60;2775;0;2775;2775;0;0;0;0;0;0;0;0;0;0;0;0;497225;0;497225;497225;500000;0;500000;500000
61;2390;0;2390;2390;0;0;0;0;0;0;0;0;0;0;0;0;497610;0;497610;497610;500000;0;500000;500000
62;2590;0;2590;2590;0;0;0;0;0;0;0;0;0;0;0;0;497410;0;497410;497410;500000;0;500000;500000
63;2565;0;2565;2565;0;0;0;0;0;0;0;0;0;0;0;0;497435;0;497435;497435;500000;0;500000;500000
64;2605;0;2605;2605;0;0;0;0;0;0;0;0;0;0;0;0;497395;0;497395;497395;500000;0;500000;500000
65;2370;0;2370;2370;0;0;0;0;0;0;0;0;0;0;0;0;497630;0;497630;497630;500000;0;500000;500000
66;2420;0;2420;2420;0;0;0;0;0;0;0;0;0;0;0;0;497580;0;497580;497580;500000;0;500000;500000
67;2610;0;2610;2610;0;0;0;0;0;0;0;0;0;0;0;0;497390;0;497390;497390;500000;0;500000;500000
68;2750;0;2750;2750;0;0;0;0;0;0;0;0;0;0;0;0;497250;0;497250;497250;500000;0;500000;500000
69;2555;0;2555;2555;0;0;0;0;0;0;0;0;0;0;0;0;497445;0;497445;497445;500000;0;500000;500000
70;2190;0;2190;2190;0;0;0;0;0;0;0;0;0;0;0;0;497810;0;497810;497810;500000;0;500000;500000
71;2610;0;2610;2610;0;0;0;0;0;0;0;0;0;0;0;0;497390;0;497390;497390;500000;0;500000;500000
72;2715;0;2715;2715;0;0;0;0;0;0;0;0;0;0;0;0;497285;0;497285;497285;500000;0;500000;500000
73;2420;0;2420;2420;0;0;0;0;0;0;0;0;0;0;0;0;497580;0;497580;497580;500000;0;500000;500000
74;2595;0;2595;2595;0;0;0;0;0;0;0;0;0;0;0;0;497405;0;497405;497405;500000;0;500000;500000
75;2215;0;2215;2215;0;0;0;0;0;0;0;0;0;0;0;0;497785;0;497785;497785;500000;0;500000;500000
76;2505;0;2505;2505;0;0;0;0;0;0;0;0;0;0;0;0;497495;0;497495;497495;500000;0;500000;500000
77;2850;0;2850;2850;0;0;0;0;0;0;0;0;0;0;0;0;497150;0;497150;497150;500000;0;500000;500000
78;2465;0;2465;2465;0;0;0;0;0;0;0;0;0;0;0;0;497535;0;497535;497535;500000;0;500000;500000
79;2550;0;2550;2550;0;0;0;0;0;0;0;0;0;0;0;0;497450;0;497450;497450;500000;0;500000;500000
80;2655;0;2655;2655;0;0;0;0;0;0;0;0;0;0;0;0;497345;0;497345;497345;500000;0;500000;500000
81;2625;0;2625;2625;0;0;0;0;0;0;0;0;0;0;0;0;497375;0;497375;497375;500000;0;500000;500000
82;2470;0;2470;2470;0;0;0;0;0;0;0;0;0;0;0;0;497530;0;497530;497530;500000;0;500000;500000
83;2570;0;2570;2570;0;0;0;0;0;0;0;0;0;0;0;0;497430;0;497430;497430;500000;0;500000;500000
84;2460;0;2460;2460;0;0;0;0;0;0;0;0;0;0;0;0;497540;0;497540;497540;500000;0;500000;500000
85;2425;0;2425;2425;0;0;0;0;0;0;0;0;0;0;0;0;497575;0;497575;497575;500000;0;500000;500000
86;2515;0;2515;2515;0;0;0;0;0;0;0;0;0;0;0;0;497485;0;497485;497485;500000;0;500000;500000
87;2405;0;2405;2405;0;0;0;0;0;0;0;0;0;0;0;0;497595;0;497595;497595;500000;0;500000;500000
88;2420;0;2420;2420;0;0;0;0;0;0;0;0;0;0;0;0;497580;0;497580;497580;500000;0;500000;500000
89;2705;0;2705;2705;0;0;0;0;0;0;0;0;0;0;0;0;497295;0;497295;497295;500000;0;500000;500000
90;2470;0;2470;2470;0;0;0;0;0;0;0;0;0;0;0;0;497530;0;497530;497530;500000;0;500000;500000
91;2460;0;2460;2460;0;0;0;0;0;0;0;0;0;0;0;0;497540;0;497540;497540;500000;0;500000;500000
92;2435;0;2435;2435;0;0;0;0;0;0;0;0;0;0;0;0;497565;0;497565;497565;500000;0;500000;500000
93;2425;0;2425;2425;0;0;0;0;0;0;0;0;0;0;0;0;497575;0;497575;497575;500000;0;500000;500000
94;2375;0;2375;2375;0;0;0;0;0;0;0;0;0;0;0;0;497625;0;497625;497625;500000;0;500000;500000
95;2615;0;2615;2615;0;0;0;0;0;0;0;0;0;0;0;0;497385;0;497385;497385;500000;0;500000;500000
96;2715;0;2715;2715;0;0;0;0;0;0;0;0;0;0;0;0;497285;0;497285;497285;500000;0;500000;500000
97;2695;0;2695;2695;0;0;0;0;0;0;0;0;0;0;0;0;497305;0;497305;497305;500000;0;500000;500000
98;2545;0;2545;2545;0;0;0;0;0;0;0;0;0;0;0;0;497455;0;497455;497455;500000;0;500000;500000
99;2565;0;2565;2565;0;0;0;0;0;0;0;0;0;0;0;0;497435;0;497435;497435;500000;0;500000;500000
100;2630;0;2630;2630;0;0;0;0;0;0;0;0;0;0;0;0;497370;0;497370;497370;500000;0;500000;500000
101;2570;0;2570;2570;0;0;0;0;0;0;0;0;0;0;0;0;497430;0;497430;497430;500000;0;500000;500000
102;2475;0;2475;2475;0;0;0;0;0;0;0;0;0;0;0;0;497525;0;497525;497525;500000;0;500000;500000
103;2475;0;2475;2475;0;0;0;0;0;0;0;0;0;0;0;0;497525;0;497525;497525;500000;0;500000;500000
104;2385;0;2385;2385;0;0;0;0;0;0;0;0;0;0;0;0;497615;0;497615;497615;500000;0;500000;500000
105;2560;0;2560;2560;0;0;0;0;0;0;0;0;0;0;0;0;497440;0;497440;497440;500000;0;500000;500000
106;2575;0;2575;2575;0;0;0;0;0;0;0;0;0;0;0;0;497425;0;497425;497425;500000;0;500000;500000
107;2510;0;2510;2510;0;0;0;0;0;0;0;0;0;0;0;0;497490;0;497490;497490;500000;0;500000;500000
108;2560;0;2560;2560;0;0;0;0;0;0;0;0;0;0;0;0;497440;0;497440;497440;500000;0;500000;500000
109;2555;0;2555;2555;0;0;0;0;0;0;0;0;0;0;0;0;497445;0;497445;497445;500000;0;500000;500000
